Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
426	6.0000	1.1940	1.1721
427	3.0000	0.5970	0.5861
428	7.0000	1.3930	1.3675
429	5.0000	0.9950	0.9768
430	7.0000	1.3930	1.3675
431	5.0000	0.9950	0.9768
432	7.0000	1.3930	1.3675
433	7.0000	1.3930	1.3675
434	7.0000	1.3930	1.3675
435	7.0000	1.3930	1.3675
436	4.0000	0.7960	0.7814
437	3.0000	0.5970	0.5861
438	5.0000	0.9950	0.9768
439	5.0000	0.9950	0.9768
440	5.0000	0.9950	0.9768
441	6.0000	1.1940	1.1721
442	5.0000	0.9950	0.9768
443	3.0000	0.5970	0.5861
444	5.0000	0.9950	0.9768
445	3.0000	0.5970	0.5861
446	4.0000	0.7960	0.7814
447	4.0000	0.7960	0.7814
448	5.0000	0.9950	0.9768
449	5.0000	0.9950	0.9768
450	3.0000	0.5970	0.5861
451	4.0000	0.7960	0.7814
452	7.0000	1.3930	1.3675
453	7.0000	1.3930	1.3675
454	3.0000	0.5970	0.5861
455	3.0000	0.5970	0.5861
456	5.0000	0.9950	0.9768
457	7.0000	1.3930	1.3675
458	7.0000	1.3930	1.3675
459	7.0000	1.3930	1.3675
460	5.0000	0.9950	0.9768
461	3.0000	0.5970	0.5861
462	5.0000	0.9950	0.9768
463	6.0000	1.1940	1.1721
464	5.0000	0.9950	0.9768
465	5.0000	0.9950	0.9768
466	4.0000	0.7960	0.7814
467	7.0000	1.3930	1.3675
468	3.0000	0.5970	0.5861
469	5.0000	0.9950	0.9768
470	3.0000	0.5970	0.5861
471	5.0000	0.9950	0.9768
472	4.0000	0.7960	0.7814
473	5.0000	0.9950	0.9768
474	3.0000	0.5970	0.5861
475	7.0000	1.3930	1.3675
476	6.0000	1.1940	1.1721
477	5.0000	0.9950	0.9768
478	3.0000	0.5970	0.5861
479	3.0000	0.5970	0.5861
480	4.0000	0.7960	0.7814
481	3.0000	0.5970	0.5861
482	7.0000	1.3930	1.3675
483	5.0000	0.9950	0.9768
484	6.0000	1.1940	1.1721
485	6.0000	1.1940	1.1721
486	3.0000	0.5970	0.5861
487	3.0000	0.5970	0.5861
488	7.0000	1.3930	1.3675
489	7.0000	1.3930	1.3675
490	3.0000	0.5970	0.5861
491	7.0000	1.3930	1.3675
492	7.0000	1.3930	1.3675
493	6.0000	1.1940	1.1721
494	7.0000	1.3930	1.3675
495	4.0000	0.7960	0.7814
496	7.0000	1.3930	1.3675
497	5.0000	0.9950	0.9768
498	6.0000	1.1940	1.1721
499	6.0000	1.1940	1.1721
500	6.0000	1.1940	1.1721
501	3.0000	0.5970	0.5861
502	7.0000	1.3930	1.3675
503	5.0000	0.9950	0.9768
504	7.0000	1.3930	1.3675
505	5.0000	0.9950	0.9768
506	4.0000	0.7960	0.7814
507	5.0000	0.9950	0.9768
508	3.0000	0.5970	0.5861
509	4.0000	0.7960	0.7814
510	7.0000	1.3930	1.3675
511	6.0000	1.1940	1.1721
512	7.0000	1.3930	1.3675
513	6.0000	1.1940	1.1721
514	3.0000	0.5970	0.5861
515	3.0000	0.5970	0.5861
516	3.0000	0.5970	0.5861
517	5.0000	0.9950	0.9768
518	7.0000	1.3930	1.3675
519	3.0000	0.5970	0.5861
520	6.0000	1.1940	1.1721
521	7.0000	1.3930	1.3675
522	7.0000	1.3930	1.3675
523	3.0000	0.5970	0.5861
524	5.0000	0.9950	0.9768
525	4.0000	0.7960	0.7814
526	7.0000	1.3930	1.3675
527	4.0000	0.7960	0.7814
528	4.0000	0.7960	0.7814
529	5.0000	0.9950	0.9768
530	6.0000	1.1940	1.1721
531	3.0000	0.5970	0.5861
532	3.0000	0.5970	0.5861
533	7.0000	1.3930	1.3675
534	6.0000	1.1940	1.1721
535	4.0000	0.7960	0.7814
536	7.0000	1.3930	1.3675
537	5.0000	0.9950	0.9768
538	7.0000	1.3930	1.3675
539	7.0000	1.3930	1.3675
540	5.0000	0.9950	0.9768
541	7.0000	1.3930	1.3675
542	7.0000	1.3930	1.3675
543	5.0000	0.9950	0.9768
544	3.0000	0.5970	0.5861
545	4.0000	0.7960	0.7814
546	4.0000	0.7960	0.7814
547	3.0000	0.5970	0.5861
548	5.0000	0.9950	0.9768
549	7.0000	1.3930	1.3675
550	7.0000	1.3930	1.3675
551	5.0000	0.9950	0.9768
552	0.0000	0.0000	0.0000
553	3.0000	0.5970	0.5861
554	7.0000	1.3930	1.3675
555	6.0000	1.1940	1.1721
556	7.0000	1.3930	1.3675
