Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
433	6.0000	1.1940	1.1721
434	4.0000	0.7960	0.7814
435	6.0000	1.1940	1.1721
436	5.0000	0.9950	0.9768
437	6.0000	1.1940	1.1721
438	6.0000	1.1940	1.1721
439	4.0000	0.7960	0.7814
440	4.0000	0.7960	0.7814
441	7.0000	1.3930	1.3675
442	6.0000	1.1940	1.1721
443	4.0000	0.7960	0.7814
444	4.0000	0.7960	0.7814
445	2.0000	0.3980	0.3907
446	3.0000	0.5970	0.5861
447	3.0000	0.5970	0.5861
448	4.0000	0.7960	0.7814
449	4.0000	0.7960	0.7814
450	4.0000	0.7960	0.7814
451	5.0000	0.9950	0.9768
452	6.0000	1.1940	1.1721
453	6.0000	1.1940	1.1721
454	2.0000	0.3980	0.3907
455	2.0000	0.3980	0.3907
456	6.0000	1.1940	1.1721
457	6.0000	1.1940	1.1721
458	4.0000	0.7960	0.7814
459	4.0000	0.7960	0.7814
460	6.0000	1.1940	1.1721
461	6.0000	1.1940	1.1721
462	4.0000	0.7960	0.7814
463	5.0000	0.9950	0.9768
464	6.0000	1.1940	1.1721
465	6.0000	1.1940	1.1721
466	5.0000	0.9950	0.9768
467	6.0000	1.1940	1.1721
468	2.0000	0.3980	0.3907
469	4.0000	0.7960	0.7814
470	6.0000	1.1940	1.1721
471	6.0000	1.1940	1.1721
472	7.0000	1.3930	1.3675
473	6.0000	1.1940	1.1721
474	4.0000	0.7960	0.7814
475	6.0000	1.1940	1.1721
476	7.0000	1.3930	1.3675
477	2.0000	0.3980	0.3907
478	4.0000	0.7960	0.7814
479	4.0000	0.7960	0.7814
480	5.0000	0.9950	0.9768
481	4.0000	0.7960	0.7814
482	6.0000	1.1940	1.1721
483	6.0000	1.1940	1.1721
484	7.0000	1.3930	1.3675
485	5.0000	0.9950	0.9768
486	6.0000	1.1940	1.1721
487	0.0000	0.0000	0.0000
488	6.0000	1.1940	1.1721
