Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
525	2.0000	0.7740	0.7590
526	3.0000	1.1610	1.1385
527	2.0000	0.7740	0.7590
528	2.0000	0.7740	0.7590
529	3.0000	1.1610	1.1385
530	3.0000	1.1610	1.1385
531	2.0000	0.7740	0.7590
532	2.0000	0.7740	0.7590
533	3.0000	1.1610	1.1385
534	3.0000	1.1610	1.1385
535	2.0000	0.7740	0.7590
536	3.0000	1.1610	1.1385
537	3.0000	1.1610	1.1385
538	3.0000	1.1610	1.1385
539	3.0000	1.1610	1.1385
540	3.0000	1.1610	1.1385
541	3.0000	1.1610	1.1385
542	3.0000	1.1610	1.1385
543	3.0000	1.1610	1.1385
544	2.0000	0.7740	0.7590
545	2.0000	0.7740	0.7590
546	2.0000	0.7740	0.7590
547	1.0000	0.3870	0.3795
548	3.0000	1.1610	1.1385
549	3.0000	1.1610	1.1385
550	3.0000	1.1610	1.1385
551	3.0000	1.1610	1.1385
552	0.0000	0.0000	0.0000
553	1.0000	0.3870	0.3795
554	3.0000	1.1610	1.1385
555	3.0000	1.1610	1.1385
556	3.0000	1.1610	1.1385
557	3.0000	1.1610	1.1385
558	3.0000	1.1610	1.1385
559	1.0000	0.3870	0.3795
560	3.0000	1.1610	1.1385
561	3.0000	1.1610	1.1385
562	1.0000	0.3870	0.3795
563	3.0000	1.1610	1.1385
564	2.0000	0.7740	0.7590
565	3.0000	1.1610	1.1385
566	2.0000	0.7740	0.7590
567	3.0000	1.1610	1.1385
568	1.0000	0.3870	0.3795
569	2.0000	0.7740	0.7590
570	3.0000	1.1610	1.1385
571	3.0000	1.1610	1.1385
572	3.0000	1.1610	1.1385
573	3.0000	1.1610	1.1385
574	3.0000	1.1610	1.1385
575	2.0000	0.7740	0.7590
576	3.0000	1.1610	1.1385
577	3.0000	1.1610	1.1385
578	3.0000	1.1610	1.1385
579	3.0000	1.1610	1.1385
580	3.0000	1.1610	1.1385
581	2.0000	0.7740	0.7590
582	3.0000	1.1610	1.1385
583	2.0000	0.7740	0.7590
584	3.0000	1.1610	1.1385
585	3.0000	1.1610	1.1385
586	3.0000	1.1610	1.1385
587	2.0000	0.7740	0.7590
588	2.0000	0.7740	0.7590
589	2.0000	0.7740	0.7590
590	3.0000	1.1610	1.1385
591	3.0000	1.1610	1.1385
592	2.0000	0.7740	0.7590
593	3.0000	1.1610	1.1385
594	3.0000	1.1610	1.1385
595	2.0000	0.7740	0.7590
596	3.0000	1.1610	1.1385
597	3.0000	1.1610	1.1385
598	2.0000	0.7740	0.7590
599	3.0000	1.1610	1.1385
