Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
510	15.0000	0.9156	0.8814
511	16.0000	0.9767	0.9402
512	20.0000	1.2209	1.1752
513	18.0000	1.0988	1.0577
514	17.0000	1.0377	0.9989
515	19.0000	1.1598	1.1165
516	12.0000	0.7325	0.7051
517	13.0000	0.7936	0.7639
518	19.0000	1.1598	1.1165
519	18.0000	1.0988	1.0577
520	16.0000	0.9767	0.9402
521	18.0000	1.0988	1.0577
522	13.0000	0.7936	0.7639
523	18.0000	1.0988	1.0577
524	16.0000	0.9767	0.9402
525	17.0000	1.0377	0.9989
526	16.0000	0.9767	0.9402
527	16.0000	0.9767	0.9402
528	15.0000	0.9156	0.8814
529	10.0000	0.6104	0.5876
530	16.0000	0.9767	0.9402
531	16.0000	0.9767	0.9402
532	18.0000	1.0988	1.0577
533	18.0000	1.0988	1.0577
534	12.0000	0.7325	0.7051
535	14.0000	0.8546	0.8227
536	16.0000	0.9767	0.9402
537	16.0000	0.9767	0.9402
538	14.0000	0.8546	0.8227
539	16.0000	0.9767	0.9402
540	14.0000	0.8546	0.8227
541	12.0000	0.7325	0.7051
542	14.0000	0.8546	0.8227
543	16.0000	0.9767	0.9402
544	10.0000	0.6104	0.5876
545	14.0000	0.8546	0.8227
546	13.0000	0.7936	0.7639
547	17.0000	1.0377	0.9989
548	12.0000	0.7325	0.7051
549	8.0000	0.4883	0.4701
550	16.0000	0.9767	0.9402
551	14.0000	0.8546	0.8227
552	18.0000	1.0988	1.0577
553	13.0000	0.7936	0.7639
554	14.0000	0.8546	0.8227
555	14.0000	0.8546	0.8227
556	17.0000	1.0377	0.9989
557	17.0000	1.0377	0.9989
558	16.0000	0.9767	0.9402
559	15.0000	0.9156	0.8814
560	13.0000	0.7936	0.7639
561	12.0000	0.7325	0.7051
562	13.0000	0.7936	0.7639
563	17.0000	1.0377	0.9989
564	17.0000	1.0377	0.9989
565	16.0000	0.9767	0.9402
566	14.0000	0.8546	0.8227
567	18.0000	1.0988	1.0577
568	10.0000	0.6104	0.5876
569	17.0000	1.0377	0.9989
570	23.0000	1.4040	1.3515
571	16.0000	0.9767	0.9402
572	13.0000	0.7936	0.7639
573	12.0000	0.7325	0.7051
574	17.0000	1.0377	0.9989
575	16.0000	0.9767	0.9402
576	16.0000	0.9767	0.9402
577	16.0000	0.9767	0.9402
578	16.0000	0.9767	0.9402
579	16.0000	0.9767	0.9402
580	10.0000	0.6104	0.5876
581	18.0000	1.0988	1.0577
582	12.0000	0.7325	0.7051
583	16.0000	0.9767	0.9402
584	10.0000	0.6104	0.5876
585	16.0000	0.9767	0.9402
586	14.0000	0.8546	0.8227
587	18.0000	1.0988	1.0577
588	17.0000	1.0377	0.9989
589	20.0000	1.2209	1.1752
590	17.0000	1.0377	0.9989
591	13.0000	0.7936	0.7639
592	17.0000	1.0377	0.9989
593	15.0000	0.9156	0.8814
594	17.0000	1.0377	0.9989
595	18.0000	1.0988	1.0577
596	18.0000	1.0988	1.0577
597	15.0000	0.9156	0.8814
598	16.0000	0.9767	0.9402
599	16.0000	0.9767	0.9402
600	16.0000	0.9767	0.9402
