Tree	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
711	8.0000	0.8844	0.8737
712	12.0000	1.3266	1.3106
713	9.0000	0.9949	0.9830
714	10.0000	1.1055	1.0922
715	8.0000	0.8844	0.8737
716	10.0000	1.1055	1.0922
717	11.0000	1.2160	1.2014
718	8.0000	0.8844	0.8737
719	6.0000	0.6633	0.6553
720	9.0000	0.9949	0.9830
721	11.0000	1.2160	1.2014
722	10.0000	1.1055	1.0922
723	7.0000	0.7738	0.7645
724	7.0000	0.7738	0.7645
725	8.0000	0.8844	0.8737
726	8.0000	0.8844	0.8737
727	6.0000	0.6633	0.6553
728	6.0000	0.6633	0.6553
729	8.0000	0.8844	0.8737
730	6.0000	0.6633	0.6553
731	9.0000	0.9949	0.9830
732	10.0000	1.1055	1.0922
733	8.0000	0.8844	0.8737
734	11.0000	1.2160	1.2014
735	10.0000	1.1055	1.0922
736	6.0000	0.6633	0.6553
737	6.0000	0.6633	0.6553
738	10.0000	1.1055	1.0922
739	11.0000	1.2160	1.2014
740	8.0000	0.8844	0.8737
741	11.0000	1.2160	1.2014
742	8.0000	0.8844	0.8737
743	11.0000	1.2160	1.2014
744	11.0000	1.2160	1.2014
745	8.0000	0.8844	0.8737
746	8.0000	0.8844	0.8737
747	8.0000	0.8844	0.8737
748	10.0000	1.1055	1.0922
749	5.0000	0.5527	0.5461
750	8.0000	0.8844	0.8737
751	11.0000	1.2160	1.2014
752	10.0000	1.1055	1.0922
753	7.0000	0.7738	0.7645
754	9.0000	0.9949	0.9830
755	8.0000	0.8844	0.8737
756	6.0000	0.6633	0.6553
757	8.0000	0.8844	0.8737
758	6.0000	0.6633	0.6553
759	6.0000	0.6633	0.6553
760	6.0000	0.6633	0.6553
761	8.0000	0.8844	0.8737
762	10.0000	1.1055	1.0922
763	7.0000	0.7738	0.7645
764	10.0000	1.1055	1.0922
765	8.0000	0.8844	0.8737
766	9.0000	0.9949	0.9830
767	8.0000	0.8844	0.8737
768	3.0000	0.3316	0.3277
769	11.0000	1.2160	1.2014
770	8.0000	0.8844	0.8737
771	8.0000	0.8844	0.8737
772	12.0000	1.3266	1.3106
773	8.0000	0.8844	0.8737
774	9.0000	0.9949	0.9830
775	11.0000	1.2160	1.2014
776	7.0000	0.7738	0.7645
777	9.0000	0.9949	0.9830
778	6.0000	0.6633	0.6553
779	7.0000	0.7738	0.7645
780	7.0000	0.7738	0.7645
781	8.0000	0.8844	0.8737
782	8.0000	0.8844	0.8737
783	9.0000	0.9949	0.9830
784	8.0000	0.8844	0.8737
785	10.0000	1.1055	1.0922
786	8.0000	0.8844	0.8737
787	8.0000	0.8844	0.8737
788	9.0000	0.9949	0.9830
789	7.0000	0.7738	0.7645
790	7.0000	0.7738	0.7645
791	8.0000	0.8844	0.8737
792	10.0000	1.1055	1.0922
793	8.0000	0.8844	0.8737
794	4.0000	0.4422	0.4369
795	11.0000	1.2160	1.2014
796	9.0000	0.9949	0.9830
797	6.0000	0.6633	0.6553
798	10.0000	1.1055	1.0922
799	10.0000	1.1055	1.0922
800	11.0000	1.2160	1.2014
801	10.0000	1.1055	1.0922
802	9.0000	0.9949	0.9830
803	8.0000	0.8844	0.8737
804	10.0000	1.1055	1.0922
805	7.0000	0.7738	0.7645
806	11.0000	1.2160	1.2014
807	7.0000	0.7738	0.7645
808	8.0000	0.8844	0.8737
809	8.0000	0.8844	0.8737
810	10.0000	1.1055	1.0922
